date,stars,forks,views_14d,unique_visitors_14d,clones_14d,unique_cloners_14d,npm_downloads_yesterday
2026-09-06,0,2,,,,,0
2026-09-07,0,2,,,,,216
2026-09-08,0,2,,,,,216
2026-09-09,0,2,,,,,216
2026-09-10,0,2,,,,,216
2026-09-11,0,2,,,,,7
2026-09-12,0,2,,,,,3
2026-09-13,0,3,,,,,13
2026-09-14,0,3,,,,,13
2026-09-15,0,3,,,,,13
2026-09-16,0,3,,,,,13
2026-09-17,0,3,,,,,13
2026-09-18,0,3,,,,,21
2026-09-19,0,3,,,,,21
2026-09-20,0,3,,,,,6
2026-09-21,0,3,,,,,2
2026-09-22,0,3,,,,,2
2026-09-23,0,3,,,,,30
2026-09-24,0,3,,,,,30
2026-09-25,0,3,,,,,30
2026-09-26,0,3,,,,,0
